variant_name,session_date,signal_time,signal_index,state_pre,state_post,policy_multiplier,allowed_to_trade,blocked_reason,trade_executed,quantity,trade_number_in_day,exit_reason,overlay_exit_reason,net_pnl_usd,net_pnl_r
stop_after_2_consecutive_losses,2019-05-07,2019-05-07 10:01:00-04:00,475,neutral,neutral,1.0,True,,True,1,1,time_exit,,58.76,0.4866655623654133
stop_after_2_consecutive_losses,2019-05-09,2019-05-09 10:04:00-04:00,560,neutral,neutral,1.0,True,,True,1,1,stop,,-134.74,-1.0
stop_after_2_consecutive_losses,2019-05-13,2019-05-13 10:01:00-04:00,562,neutral,neutral,1.0,True,,True,1,1,time_exit,,70.26,0.4788060515196947
stop_after_2_consecutive_losses,2019-05-20,2019-05-20 10:25:00-04:00,604,neutral,neutral,1.0,True,,True,1,1,time_exit,,-54.24,-0.46462223745074527
stop_after_2_consecutive_losses,2019-06-03,2019-06-03 10:01:00-04:00,598,neutral,neutral,1.0,True,,True,1,1,time_exit,,120.76,0.6590264134468456
stop_after_2_consecutive_losses,2019-06-18,2019-06-18 10:03:00-04:00,436,neutral,neutral,1.0,True,,True,1,1,time_exit,,-88.74,-0.5197376127445238
stop_after_2_consecutive_losses,2019-08-02,2019-08-02 10:04:00-04:00,604,neutral,neutral,1.0,True,,True,1,1,time_exit,,35.26,0.3482813117344923
stop_after_2_consecutive_losses,2019-08-06,2019-08-06 10:03:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,stop,,-92.24,-1.0
stop_after_2_consecutive_losses,2019-08-07,2019-08-07 10:10:00-04:00,610,neutral,neutral,1.0,True,,True,1,1,time_exit,,199.26,1.25526017386922
stop_after_2_consecutive_losses,2019-08-13,2019-08-13 10:26:00-04:00,624,neutral,neutral,1.0,True,,True,1,1,time_exit,,-72.24,-0.16279803488529318
stop_after_2_consecutive_losses,2019-08-14,2019-08-14 10:12:00-04:00,612,neutral,neutral,1.0,True,,True,1,1,time_exit,,154.26,1.4869866975130133
stop_after_2_consecutive_losses,2019-08-23,2019-08-23 10:05:00-04:00,604,neutral,neutral,1.0,True,,True,1,1,stop,,-123.74,-1.0
stop_after_2_consecutive_losses,2019-09-03,2019-09-03 10:04:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,time_exit,,-1.24,-0.009412479125550325
stop_after_2_consecutive_losses,2019-10-03,2019-10-03 10:00:00-04:00,599,neutral,neutral,1.0,True,,True,1,1,stop,,-152.24,-1.0
stop_after_2_consecutive_losses,2019-10-04,2019-10-04 10:00:00-04:00,599,neutral,neutral,1.0,True,,True,1,1,time_exit,,70.26,0.8291243804578713
stop_after_2_consecutive_losses,2019-12-12,2019-12-12 10:00:00-05:00,599,neutral,neutral,1.0,True,,True,1,1,time_exit,,-27.24,-0.1454817346720786
stop_after_2_consecutive_losses,2019-12-13,2019-12-13 10:01:00-05:00,574,neutral,neutral,1.0,True,,True,1,1,time_exit,,-6.24,-0.05712193335774442
stop_after_2_consecutive_losses,2020-01-31,2020-01-31 10:08:00-05:00,608,neutral,neutral,1.0,True,,True,1,1,time_exit,,194.76,1.1209853804535512
stop_after_2_consecutive_losses,2020-02-05,2020-02-05 10:14:00-05:00,614,neutral,neutral,1.0,True,,True,1,1,time_exit,,-22.24,-0.12512658940024754
stop_after_2_consecutive_losses,2020-02-21,2020-02-21 10:40:00-05:00,640,neutral,neutral,1.0,True,,True,1,1,time_exit,,37.76,0.14793919448362325
