trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd
1,2019-06-18,long,1,2019-06-18 09:49:00-04:00,7678.5,7597.5,7840.5,2019-06-18 16:00:00-04:00,7638.25,time_exit,50000.0,0.5,250.0,165.0,165.0,165.0,15357.0,0.30714,-40.25,-161.0,-80.5,2.5,-83.0
3,2019-08-08,long,2,2019-08-08 10:01:00-04:00,7624.5,7583.0,7707.5,2019-08-08 14:42:00-04:00,7707.25,target,50000.0,0.5,250.0,86.0,172.0,172.0,30498.0,0.60996,82.75,331.0,331.0,5.0,326.0
4,2019-08-13,long,1,2019-08-13 09:46:00-04:00,7655.5,7554.75,7857.0,2019-08-13 16:00:00-04:00,7740.25,time_exit,50000.0,0.5,250.0,204.5,204.5,204.5,15311.0,0.30622,84.75,339.0,169.5,2.5,167.0
6,2019-09-12,long,2,2019-09-12 10:11:00-04:00,7972.0,7924.0,8068.0,2019-09-12 10:51:00-04:00,7923.75,stop,50000.0,0.5,250.0,99.0,198.0,198.0,31888.0,0.63776,-48.25,-193.0,-193.0,5.0,-198.0
8,2019-12-13,long,2,2019-12-13 10:02:00-05:00,8493.25,8439.5,8600.75,2019-12-13 16:00:00-05:00,8490.75,time_exit,50000.0,0.5,250.0,110.5,221.0,221.0,33973.0,0.67946,-2.5,-10.0,-10.0,5.0,-15.0
10,2020-03-04,long,1,2020-03-04 10:23:00-05:00,8783.25,8686.75,8976.25,2020-03-04 16:00:00-05:00,8917.0,time_exit,50000.0,0.5,250.0,196.0,196.0,196.0,17566.5,0.35133,133.75,535.0,267.5,2.5,265.0
11,2020-03-24,long,1,2020-03-24 10:26:00-04:00,7439.75,7327.0,7665.25,2020-03-24 14:04:00-04:00,7326.75,stop,50000.0,0.5,250.0,228.5,228.5,228.5,14879.5,0.29759,-113.0,-452.0,-226.0,2.5,-228.5
13,2020-03-31,long,1,2020-03-31 10:15:00-04:00,7937.75,7817.75,8177.75,2020-03-31 12:39:00-04:00,7817.5,stop,50000.0,0.5,250.0,243.0,243.0,243.0,15875.5,0.31751,-120.25,-481.0,-240.5,2.5,-243.0
14,2020-04-14,long,1,2020-04-14 09:49:00-04:00,8550.75,8456.5,8739.25,2020-04-14 16:00:00-04:00,8673.75,time_exit,50000.0,0.5,250.0,191.5,191.5,191.5,17101.5,0.34203,123.0,492.0,246.0,2.5,243.5
16,2020-05-05,long,2,2020-05-05 09:49:00-04:00,8944.0,8894.5,9043.0,2020-05-05 15:37:00-04:00,8894.25,stop,50000.0,0.5,250.0,102.0,204.0,204.0,35776.0,0.71552,-49.75,-199.0,-199.0,5.0,-204.0
19,2020-05-28,long,1,2020-05-28 10:11:00-04:00,9470.0,9381.75,9646.5,2020-05-28 21:15:00-04:00,9381.5,stop,50000.0,0.5,250.0,179.5,179.5,179.5,18940.0,0.3788,-88.5,-354.0,-177.0,2.5,-179.5
20,2020-05-29,long,2,2020-05-29 09:47:00-04:00,9473.25,9420.0,9579.75,2020-05-29 10:08:00-04:00,9419.75,stop,50000.0,0.5,250.0,109.5,219.0,219.0,37893.0,0.75786,-53.5,-214.0,-214.0,5.0,-219.0
24,2020-06-30,long,1,2020-06-30 09:48:00-04:00,10019.25,9942.5,10172.75,2020-06-30 20:00:00-04:00,10125.75,time_exit,50000.0,0.5,250.0,156.5,156.5,156.5,20038.5,0.40077,106.5,426.0,213.0,2.5,210.5
25,2020-07-02,long,2,2020-07-02 09:57:00-04:00,10412.25,10366.0,10504.75,2020-07-02 10:29:00-04:00,10365.75,stop,50000.0,0.5,250.0,95.5,191.0,191.0,41649.0,0.83298,-46.5,-186.0,-186.0,5.0,-191.0
26,2020-07-06,long,3,2020-07-06 09:56:00-04:00,10508.0,10469.25,10585.5,2020-07-06 11:06:00-04:00,10585.25,target,50000.0,0.5,250.0,80.5,241.5,241.5,63048.0,1.26096,77.25,309.0,463.5,7.5,456.0
27,2020-07-07,long,1,2020-07-07 09:50:00-04:00,10626.5,10556.25,10767.0,2020-07-07 15:09:00-04:00,10556.0,stop,50000.0,0.5,250.0,143.5,143.5,143.5,21253.0,0.42506,-70.5,-282.0,-141.0,2.5,-143.5
28,2020-07-08,long,2,2020-07-08 09:49:00-04:00,10617.25,10566.0,10719.75,2020-07-08 11:18:00-04:00,10565.75,stop,50000.0,0.5,250.0,105.5,211.0,211.0,42469.0,0.84938,-51.5,-206.0,-206.0,5.0,-211.0
31,2020-07-27,long,1,2020-07-27 09:50:00-04:00,10616.25,10513.0,10822.75,2020-07-27 11:38:00-04:00,10512.75,stop,50000.0,0.5,250.0,209.5,209.5,209.5,21232.5,0.42465,-103.5,-414.0,-207.0,2.5,-209.5
