strategy_id,split_name,is_fraction,oos_start_date,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_max_drawdown,oos_expectancy_per_trade,oos_total_trades
paper_vwap_baseline,is_60_oos_40,0.6,2023-06-20,-12137.5,0.7947944140123081,-1.6657904213206098,-12853.5,-3.331732088937689,3643
paper_vwap_baseline,is_65_oos_35,0.65,2023-10-20,-7326.5,0.7803115488987841,-1.4304554904650422,-7557.0,-3.43000936329588,2136
paper_vwap_baseline,is_70_oos_30,0.7,2024-02-23,-2376.5,0.7662880464178591,-0.7066732810483942,-2518.5,-3.8768352365415986,613
paper_vwap_baseline,is_75_oos_25,0.75,2024-07-01,0.0,0.0,0.0,0.0,0.0,0
baseline_futures_adapted,is_60_oos_40,0.6,2023-06-20,-29804.0,0.8809302176926734,-1.7054613694729457,-30520.0,-2.5574051827698643,11654
baseline_futures_adapted,is_65_oos_35,0.65,2023-10-20,-24993.0,0.888676820699439,-1.588835368812866,-25223.5,-2.4630925396668966,10147
baseline_futures_adapted,is_70_oos_30,0.7,2024-02-23,-20043.0,0.9004457910618271,-1.4121554200812398,-20185.0,-2.324095547309833,8624
baseline_futures_adapted,is_75_oos_25,0.75,2024-07-01,-16787.5,0.9043880407450756,-1.3785596992214553,-18405.5,-2.3805303460011342,7052
vwap_reclaim,is_60_oos_40,0.6,2023-06-20,-117.94642857142753,0.9122387425094013,-0.08404213704485544,-750.4464285714275,-4.536401098901059,26
vwap_reclaim,is_65_oos_35,0.65,2023-10-20,-117.94642857142753,0.9122387425094013,-0.08981747240672877,-750.4464285714275,-4.536401098901059,26
vwap_reclaim,is_70_oos_30,0.7,2024-02-23,151.05357142857247,1.140521952921243,0.12531480444303125,-750.4464285714275,7.950187969924866,19
vwap_reclaim,is_75_oos_25,0.75,2024-07-01,-69.94642857142753,0.9295212048149424,-0.06844714386821713,-750.4464285714275,-4.663095238095169,15
