config_name,policy_family,strategy_tag,opposite_confirmation,opposite_breakout_buffer_ticks,opposite_breakout_confirm_bars,require_reclaim_vwap,require_reclaim_or_low_close,reclaim_confirm_bars,symbols_covered,assets_profitable_count,asset_stability_score,annual_stability_score,trade_count_score,net_pnl,gross_pnl,number_of_trades,win_rate,avg_trade,profit_factor,Sharpe,Sortino,max_drawdown,max_daily_drawdown,average_daily_pnl,median_daily_pnl,worst_day,best_day,trade_frequency,exposure_days,prop_pass,daily_loss_limit_breaches,first_breakout_downside_count,first_breakout_upside_count,invalidated_days_count,invalidated_days_pct,trades_after_downside_first_breakout_count,pnl_after_downside_first_breakout,sharpe_after_downside_first_breakout,reclaim_trade_count,reclaim_trade_pnl,reclaim_trade_sharpe,is_2018_2021_net_pnl,is_2018_2021_Sharpe,is_2018_2021_max_drawdown,is_2018_2021_number_of_trades,validation_2022_2023_net_pnl,validation_2022_2023_Sharpe,validation_2022_2023_max_drawdown,validation_2022_2023_number_of_trades,oos_2024_2026_net_pnl,oos_2024_2026_Sharpe,oos_2024_2026_max_drawdown,oos_2024_2026_number_of_trades,baseline_pnl,filtered_pnl,pnl_removed_by_invalidation,trades_removed,Sharpe_delta,DD_delta,daily_loss_breach_delta,profit_factor_delta,pnl_delta_vs_baseline_score,robust_score
invalidate_on_opposite_close_1m__buffer_1,invalidate_for_day,orb_long_only,close_1m,1,1,False,False,1,4,2,0.5,0.5,1.0,12779.75000000466,35474.75000000466,2970,0.44882154882154884,4.302946127947697,1.0422148357660626,0.2457683461764506,0.44752919152636456,-14194.499999995274,-9911.749999999718,5.199247355575533,0.0,-932.9999999999864,1536.24999999998,1.2082994304312449,1404,False,0,2995,3506,4781,0.5512510088781275,1564,-23972.249999997577,-1.0838401702635254,0,0.0,0.0,11523.500000002405,0.5168439219015261,-6896.499999998743,1246,-3546.9999999988386,-0.24163167291044432,-7440.999999999112,832,4803.250000001093,0.3235968600510181,-6264.499999998801,892,646.5000000012419,4803.250000001093,-24269.499999997544,1567,0.287720986830548,18090.249999997544,0,0.06756021264334722,0.9999947960754406,0.4214850089218144
invalidate_on_opposite_touch__buffer_0,invalidate_for_day,orb_long_only,touch,0,1,False,False,1,4,3,0.75,0.75,1.0,20644.000000004282,41054.000000004286,2702,0.4552183567727609,7.640266469283598,1.0760279414838394,0.42208744170027157,0.747924021943861,-12113.749999995602,-9339.499999999722,8.398698128561547,0.0,-927.4999999999984,1484.0000000000077,1.09926769731489,1331,False,0,3281,3224,5002,0.5767323878704024,1514,-8116.99999999767,-0.4488255790230838,0,0.0,0.0,15111.500000002221,0.7158847304507764,-4713.499999998803,1142,560.2500000010414,0.040627354304947544,-5746.999999999216,749,4972.2500000010195,0.35882603582570216,-8130.24999999883,811,646.5000000012419,4972.2500000010195,-32133.749999997166,1835,0.322950162605232,20170.999999997217,0,0.10137331836112407,0.9999969148540533,0.4162627928214656
invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,orb_long_only,close_1m,0,1,False,False,1,4,2,0.5,0.5,1.0,14924.250000004542,37031.75000000454,2932,0.45020463847203274,5.090126193725969,1.050154672348364,0.2899470969304571,0.5242796463166816,-13352.249999995376,-9911.74999999972,6.071704637918854,0.0,-932.9999999999864,1484.0000000000077,1.192839707078926,1392,False,0,3034,3468,4810,0.5545947192436297,1556,-20208.499999997635,-1.0151379604238262,0,0.0,0.0,13961.250000002328,0.6323910430099989,-5627.499999998803,1225,-3802.749999998863,-0.26168508190397577,-7740.499999999138,822,4765.750000001077,0.3245956163667156,-6364.24999999937,885,646.5000000012419,4765.750000001077,-26413.999999997428,1605,0.28871974314624543,18932.499999997443,0,0.07550004922564857,0.9999941559618346,0.4068870788216938
invalidate_on_opposite_touch__buffer_1,invalidate_for_day,orb_long_only,touch,1,1,False,False,1,4,2,0.5,0.5,1.0,16944.000000004395,37829.000000004395,2739,0.4519897772909821,6.186199342827454,1.0610568191645933,0.3436191109188901,0.6070454189080552,-13763.7499999955,-9339.499999999724,6.893409275835798,0.0,-927.4999999999984,1484.0000000000077,1.114320585842148,1340,False,0,3241,3262,4977,0.5738498789346247,1517,-11295.999999997628,-0.5053533295471376,0,0.0,0.0,13131.00000000228,0.6178764071326562,-5662.49999999875,1158,-822.2499999989232,-0.05900513213006628,-6235.499999998923,762,4635.250000001037,0.33198260198712565,-8075.749999998825,819,646.5000000012419,4635.250000001037,-28433.74999999728,1798,0.2961067287666555,18520.99999999732,0,0.08640219604187793,0.9999912493072539,0.21085695818999559
invalidate_on_opposite_touch__buffer_4,invalidate_for_day,orb_long_only,touch,4,1,False,False,1,4,2,0.5,0.5,1.0,14720.000000004657,36705.00000000466,2824,0.45042492917847027,5.2124645892367765,1.0512358205214944,0.2938907912826743,0.5291621781321376,-16151.999999995249,-9584.499999999725,5.988608624900185,0.0,-927.4999999999984,1676.4999999999936,1.1489015459723353,1373,False,0,3150,3351,4896,0.564510549982705,1539,-17261.499999997504,-0.7406387320894816,0,0.0,0.0,11909.250000002448,0.547040531811127,-6226.4999999986485,1204,-1750.499999998874,-0.12512361854949375,-6807.999999998876,781,4561.250000001082,0.3213502285911807,-8548.499999998798,839,646.5000000012419,4561.250000001082,-26209.74999999754,1713,0.28547435537071053,16132.74999999757,0,0.07658119739877911,0.9999889982239007,0.13426882646211674
invalidate_on_opposite_close_1m__buffer_2,invalidate_for_day,orb_long_only,close_1m,2,1,False,False,1,4,2,0.5,0.5,1.0,10497.25000000481,33687.25000000481,3007,0.44728965746591287,3.4909378117741303,1.0340853558550602,0.20047125046612274,0.3653222672011286,-16222.499999995114,-10290.499999998641,4.270646867373804,0.0,-932.9999999999864,1536.24999999998,1.223352318958503,1418,False,0,2960,3540,4747,0.5473307967254698,1563,-25025.499999997548,-1.1162084111816435,0,0.0,0.0,10996.75000000251,0.4887720064654704,-7525.999999998651,1268,-4130.749999998816,-0.27973231821997757,-8469.999999998816,840,3631.2500000011155,0.24336460943261384,-7186.499999998778,899,646.5000000012419,3631.2500000011155,-21986.999999997694,1530,0.2074887362121437,16062.249999997704,0,0.05943073273234489,0.9998046105615639,0.0037804780803618043
invalidate_on_opposite_touch__buffer_2,invalidate_for_day,orb_long_only,touch,2,1,False,False,1,4,2,0.5,0.5,1.0,14570.75000000456,35885.75000000456,2768,0.4508670520231214,5.263999277458295,1.0518047626285556,0.29429153251198,0.5236780930288136,-15175.249999995347,-9339.499999999725,5.927888527259789,0.0,-927.4999999999984,1484.0000000000077,1.1261187957689178,1351,False,0,3204,3298,4953,0.5710826703562781,1528,-14230.999999997535,-0.5929720604472497,0,0.0,0.0,11990.2500000024,0.559604774828408,-6460.999999998663,1175,-1239.2499999988959,-0.08879522078986543,-6589.499999998897,769,3819.750000001058,0.27326527372542997,-8248.749999998821,824,646.5000000012419,3819.750000001058,-26060.499999997446,1769,0.23738940050495982,17109.49999999747,0,0.07715013950584027,0.9998909400347739,-0.05651197490309587
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,invalidate_for_day,orb_long_only,n_closes_1m,0,2,False,False,1,4,2,0.5,0.5,1.0,13310.250000004926,37142.750000004926,3125,0.44864,4.259280000001576,1.0418275893494222,0.24787823367933742,0.45936928971888086,-17549.74999999501,-9300.499999998641,5.415073230270515,0.0,-932.9999999999864,1536.24999999998,1.2713588283157038,1454,False,0,2829,3662,4617,0.5323417502594258,1605,-26130.749999997453,-1.2444669377461657,0,0.0,0.0,12236.500000002572,0.5304672376715849,-7425.999999998661,1308,-2304.999999998813,-0.1525376899533123,-7910.499999998814,875,3378.750000001167,0.22021404753559415,-8385.749999998729,942,646.5000000012419,3378.750000001167,-24799.99999999781,1412,0.184338174315124,14734.99999999781,0,0.06717296622670688,0.9995733311495559,-0.27084711468194944
invalidate_on_opposite_close_5m__buffer_0,invalidate_for_day,orb_long_only,close_5m,0,1,False,False,1,4,2,0.5,0.5,1.0,11228.500000004911,35453.50000000491,3182,0.44751728472658703,3.528755499687276,1.0346408157567508,0.20754517671491735,0.38650132792476716,-17440.24999999506,-9680.249999999682,4.568144833199717,0.0,-932.9999999999864,1536.24999999998,1.2945484133441822,1463,False,0,2767,3734,4580,0.5280756370344748,1604,-34187.49999999748,-1.4907289968126758,0,0.0,0.0,11858.000000002587,0.5079231513633915,-6860.4999999986085,1329,-3639.249999998812,-0.23915756204550925,-8597.999999998814,891,3009.7500000011346,0.19582273669332895,-8279.2499999988,962,646.5000000012419,3009.7500000011346,-22718.249999997795,1355,0.1599468634728588,14844.499999997759,0,0.059986192634035485,0.9986644681551284,-0.42991608023178607
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,invalidate_for_day,orb_long_only,n_closes_1m,2,2,False,False,1,4,2,0.5,0.5,1.0,11251.500000005002,35766.500000005006,3181,0.447343602640679,3.5370952530666466,1.0346587644950744,0.20793434137252786,0.3857624897400107,-18586.24999999492,-10701.749999998525,4.5775020341761605,0.0,-932.9999999999864,1536.24999999998,1.2941415785191213,1471,False,0,2770,3719,4563,0.526115530958146,1602,-28189.499999997595,-1.3176538492536969,0,0.0,0.0,10748.250000002694,0.4607707589205356,-8405.999999998563,1339,-2449.2499999987986,-0.16109251777973735,-8334.9999999988,889,2952.500000001108,0.19154416552532,-8473.249999998794,953,646.5000000012419,2952.500000001108,-22741.24999999789,1356,0.15566829230484985,13698.499999997897,0,0.0600041413723591,0.9984059025363731,-0.49378238593552537
