config_name,symbol,year,annual_trade_count,annual_max_dd,annual_invalidation_count,net_pnl,gross_pnl,number_of_trades,win_rate,avg_trade,profit_factor,Sharpe,Sortino,max_drawdown,max_daily_drawdown,average_daily_pnl,median_daily_pnl,worst_day,best_day,trade_frequency,exposure_days,prop_pass,daily_loss_limit_breaches,first_breakout_downside_count,first_breakout_upside_count,invalidated_days_count,invalidated_days_pct,trades_after_downside_first_breakout_count,pnl_after_downside_first_breakout,sharpe_after_downside_first_breakout,reclaim_trade_count,reclaim_trade_pnl,reclaim_trade_sharpe
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,M2K,2019,118,-3551.999999999588,0,-2696.9999999995484,-866.999999999548,118,0.4152542372881356,-22.855932203386004,0.77893442622954,-1.26954230711642,-2.636442430813406,-3551.999999999588,-3551.999999999588,-13.028985507244194,0.0,-247.99999999999272,440.0,0.5700483091787439,118,False,0,82,86,0,0.0,34,-1352.499999999875,-1.8557594547892715,40,-1756.9999999998265,-3.388317854718851
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,M2K,2020,177,-3090.9999999996226,0,-1511.49999999954,156.0000000004602,177,0.4519774011299435,-8.539548022596271,0.9101527670451426,-0.4827858433666338,-0.9130924748288152,-3090.9999999996226,-3090.9999999996226,-4.844551282049807,0.0,-248.99999999999864,451.9999999999982,0.5673076923076923,177,False,0,128,127,0,0.0,58,-1243.9999999998781,-1.0956859221030697,65,-2082.9999999998586,-2.472229446416468
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,M2K,2021,177,-2487.9999999997244,0,1800.5000000003715,3155.500000000372,177,0.480225988700565,10.17231638418289,1.1160564651282983,0.5539096180853021,1.2353165885230213,-2487.9999999997244,-2487.9999999997244,5.789389067525309,0.0,-249.9999999999909,464.0000000000009,0.5691318327974276,177,True,0,126,127,0,0.0,54,495.5000000001155,0.5211983406148777,60,1210.000000000141,1.62816170843121
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,M2K,2022,177,-4125.4999999998545,0,-1707.9999999996041,-492.9999999996039,177,0.4519774011299435,-9.649717514122058,0.9028524301112176,-0.5363607484088946,-1.359383269890297,-4125.4999999998545,-4360.999999999845,-5.509677419353561,0.0,-249.99999999999432,447.00000000000273,0.5709677419354838,177,False,0,138,116,0,0.0,68,-1441.4999999998463,-1.221098725342948,69,-1433.4999999998445,-1.7222785682749733
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,M2K,2023,170,-3770.4999999998718,0,-689.4999999995605,848.0000000004395,170,0.47058823529411764,-4.055882352938591,0.9545709108878555,-0.2281556032627786,-0.44161430725701273,-3770.4999999998718,-3770.4999999998718,-2.224193548385679,0.0,-250.0,463.99999999999636,0.5483870967741935,170,False,0,123,129,0,0.0,48,1390.5000000001178,1.2854413855703422,55,980.5000000001576,1.325176823423192
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,M2K,2024,166,-2584.999999999716,0,-868.4999999996023,531.5000000003977,166,0.45180722891566266,-5.231927710840978,0.9431498330824359,-0.28368902510768407,-0.5814680655090766,-2584.999999999716,-2584.999999999716,-2.7747603833853107,0.0,-248.99999999999636,444.00000000000546,0.5303514376996805,166,False,0,132,123,0,0.0,51,180.0000000001262,0.18240692436480824,58,-424.9999999998465,-0.6025686704209751
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,M2K,2025,182,-3462.9999999997526,0,-1082.4999999995712,415.0000000004288,182,0.4340659340659341,-5.947802197799842,0.9418557808513707,-0.3146398880911789,-0.7807462543900863,-3462.9999999997526,-3462.9999999997526,-3.4695512820499093,0.0,-250.0,459.9999999999909,0.5833333333333334,182,False,0,121,132,0,0.0,56,1677.000000000089,1.4493653017762018,60,2186.0000000000855,2.5584382309211624
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,M2K,2026,38,-1879.999999999925,0,-822.99999999992,-625.49999999992,38,0.4473684210526316,-21.65789473684,0.7683321604504049,-1.3622673809925339,-2.994092276835859,-1879.999999999925,-1879.999999999925,-12.102941176469411,0.0,-241.49999999999181,409.99999999999545,0.5588235294117647,38,False,0,32,23,0,0.0,16,-1119.9999999999727,-4.291147244144325,16,-1119.9999999999727,-6.303260106926986
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MES,2019,132,-5547.5,0,-4111.25,-2413.75,132,0.3787878787878788,-31.145833333333332,0.7360141263343768,-1.715673520276598,-4.429122177120295,-5547.5,-5547.5,-19.86111111111111,0.0,-250.0,412.5,0.6376811594202898,132,False,0,84,84,0,0.0,49,-2391.25,-2.639652310111077,55,-2157.5,-2.738573385077765
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MES,2020,205,-2276.25,0,-663.75,1066.25,205,0.43414634146341463,-3.2378048780487805,0.9700050838840875,-0.17315641581934904,-0.5168842644886917,-2276.25,-2276.25,-2.1274038461538463,0.0,-250.0,455.0,0.657051282051282,205,False,0,128,127,0,0.0,86,-1693.75,-1.0898216105935525,95,-2390.0,-1.7081181136885715
