trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,meta_risk_variant,meta_risk_multiplier
1,2019-05-08,long,1,2019-05-08 09:49:00-04:00,7654.25,7600.25,7924.25,2019-05-08 16:00:00-04:00,7635.0,time_exit,50000.0,0.25,125.0,111.0,111.0,111.0,15308.5,0.30617,-19.25,-77.0,-38.5,2.5,-41.0,local_drawdown_scaling,1.0
2,2019-05-09,long,1,2019-05-09 12:32:00-04:00,7568.5,7527.5,7773.5,2019-05-09 16:00:00-04:00,7592.25,time_exit,50000.0,0.25,125.0,85.0,85.0,85.0,15137.0,0.30274,23.75,95.0,47.5,2.5,45.0,local_drawdown_scaling,1.0
3,2019-05-10,long,1,2019-05-10 09:47:00-04:00,7584.0,7553.5,7736.5,2019-05-10 09:56:00-04:00,7553.25,stop,50000.0,0.25,125.0,64.0,64.0,64.0,15168.0,0.30336,-30.75,-123.0,-61.5,2.5,-64.0,local_drawdown_scaling,1.0
4,2019-05-15,long,1,2019-05-15 09:48:00-04:00,7407.75,7362.5,7634.0,2019-05-15 16:00:00-04:00,7514.25,time_exit,50000.0,0.25,125.0,93.5,93.5,93.5,14815.5,0.29631,106.5,426.0,213.0,2.5,210.5,local_drawdown_scaling,1.0
5,2019-05-20,long,1,2019-05-20 10:26:00-04:00,7418.5,7361.0,7706.0,2019-05-20 16:00:00-04:00,7392.0,time_exit,50000.0,0.25,125.0,118.0,118.0,118.0,14837.0,0.29674,-26.5,-106.0,-53.0,2.5,-55.5,local_drawdown_scaling,1.0
6,2019-05-22,long,1,2019-05-22 10:19:00-04:00,7449.75,7419.75,7599.75,2019-05-22 13:10:00-04:00,7419.5,stop,50000.0,0.25,125.0,63.0,63.0,63.0,14899.5,0.29799,-30.25,-121.0,-60.5,2.5,-63.0,local_drawdown_scaling,1.0
7,2019-06-19,long,1,2019-06-19 14:05:00-04:00,7698.25,7638.25,7998.25,2019-06-19 16:00:00-04:00,7699.0,time_exit,50000.0,0.25,125.0,123.0,123.0,123.0,15396.5,0.30793,0.75,3.0,1.5,2.5,-1.0,local_drawdown_scaling,1.0
8,2019-08-06,long,1,2019-08-06 10:04:00-04:00,7530.5,7489.25,7736.75,2019-08-06 10:14:00-04:00,7489.0,stop,50000.0,0.25,125.0,85.5,85.5,85.5,15061.0,0.30122,-41.5,-166.0,-83.0,2.5,-85.5,local_drawdown_scaling,1.0
9,2019-08-07,long,1,2019-08-07 10:11:00-04:00,7465.75,7417.0,7709.5,2019-08-07 16:00:00-04:00,7566.0,time_exit,50000.0,0.25,125.0,100.5,100.5,100.5,14931.5,0.29863,100.25,401.0,200.5,2.5,198.0,local_drawdown_scaling,1.0
10,2019-08-08,long,1,2019-08-08 09:57:00-04:00,7620.75,7583.0,7809.5,2019-08-08 16:00:00-04:00,7736.25,time_exit,50000.0,0.25,125.0,78.5,78.5,78.5,15241.5,0.30483,115.5,462.0,231.0,2.5,228.5,local_drawdown_scaling,1.0
11,2019-08-16,long,1,2019-08-16 10:23:00-04:00,7590.75,7555.5,7767.0,2019-08-16 16:00:00-04:00,7604.25,time_exit,50000.0,0.25,125.0,73.5,73.5,73.5,15181.5,0.30363,13.5,54.0,27.0,2.5,24.5,local_drawdown_scaling,1.0
12,2019-08-23,long,2,2019-08-23 10:03:00-04:00,7684.5,7655.75,7828.25,2019-08-23 10:10:00-04:00,7655.5,stop,50000.0,0.25,125.0,60.5,121.0,121.0,30738.0,0.61476,-29.0,-116.0,-116.0,5.0,-121.0,local_drawdown_scaling,1.0
13,2019-09-03,long,1,2019-09-03 09:52:00-04:00,7670.5,7627.0,7888.0,2019-09-03 10:04:00-04:00,7626.75,stop,50000.0,0.25,125.0,90.0,90.0,90.0,15341.0,0.30682,-43.75,-175.0,-87.5,2.5,-90.0,local_drawdown_scaling,1.0
14,2019-09-12,long,1,2019-09-12 10:12:00-04:00,7971.75,7924.0,8210.5,2019-09-12 10:51:00-04:00,7923.75,stop,50000.0,0.25,125.0,98.5,98.5,98.5,15943.5,0.31887,-48.0,-192.0,-96.0,2.5,-98.5,local_drawdown_scaling,1.0
15,2019-09-25,long,1,2019-09-25 10:57:00-04:00,7744.0,7713.75,7895.25,2019-09-25 16:00:00-04:00,7823.75,time_exit,50000.0,0.25,125.0,63.5,63.5,63.5,15488.0,0.30976,79.75,319.0,159.5,2.5,157.0,local_drawdown_scaling,1.0
16,2019-10-03,long,1,2019-10-03 11:07:00-04:00,7588.75,7548.5,7790.0,2019-10-03 16:00:00-04:00,7655.75,time_exit,50000.0,0.25,125.0,83.5,83.5,83.5,15177.5,0.30355,67.0,268.0,134.0,2.5,131.5,local_drawdown_scaling,1.0
