variant_name,session_date,timestamp,from_state,to_state,trigger,current_day_pnl_usd,current_day_pnl_r,peak_day_pnl_usd,peak_day_pnl_r
giveback_after_1p0r__0p5r,2019-05-07,2019-05-07 14:08:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,111.26,0.9214841808845454,171.76,1.4225608746065928
giveback_after_1p0r__0p5r,2019-08-02,2019-08-02 11:11:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,69.76,0.6890557092058476,125.26,1.2372580007902017
giveback_after_1p0r__0p5r,2019-08-14,2019-08-14 12:32:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,99.26,0.9568151147098517,158.26,1.5255446308077887
giveback_after_1p0r__0p5r,2020-01-31,2020-01-31 14:33:00-05:00,neutral,locked_profit,overlay_peak_giveback_lock,110.26,0.6346264533210545,201.76,1.1612754690917462
giveback_after_1p0r__0p5r,2020-02-25,2020-02-25 11:32:00-05:00,neutral,locked_profit,overlay_peak_giveback_lock,188.26,0.9150383979780304,292.76,1.4229610187615436
giveback_after_1p0r__0p5r,2020-03-05,2020-03-05 11:35:00-05:00,neutral,locked_profit,overlay_peak_giveback_lock,75.76,0.4530016742406123,167.76,1.0031093039942596
giveback_after_1p0r__0p5r,2020-03-11,2020-03-11 13:30:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,106.76,0.53990087994336,215.26,1.0886011934863962
giveback_after_1p0r__0p5r,2020-03-30,2020-03-30 12:06:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,126.76,0.7111759425493717,221.76,1.2441651705565528
giveback_after_1p0r__0p5r,2020-03-31,2020-03-31 10:57:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,140.76,0.8702856436255718,235.76,1.4576480771608753
giveback_after_1p0r__0p5r,2020-04-03,2020-04-03 14:29:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,177.26,0.8987020888257959,277.76,1.4082336240113567
giveback_after_1p0r__0p5r,2020-04-21,2020-04-21 12:11:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,222.76,0.849450884685784,358.26,1.3661531421598534
giveback_after_1p0r__0p5r,2020-04-22,2020-04-22 15:55:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,127.76,0.9697889782905723,199.26,1.5125246698041594
giveback_after_1p0r__0p5r,2020-04-28,2020-04-28 11:27:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,163.26,0.9185326881962416,256.26,1.4417688758861256
giveback_after_1p0r__0p5r,2020-04-29,2020-04-29 15:53:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,117.76,0.6444128269672759,221.76,1.2135274160008755
giveback_after_1p0r__0p5r,2020-05-21,2020-05-21 11:38:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,81.76,0.5668330560177482,167.76,1.1630615640599
giveback_after_1p0r__0p5r,2020-05-28,2020-05-28 14:11:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,115.26,0.6891891891891891,200.26,1.1974408036354938
giveback_after_1p0r__0p5r,2020-06-09,2020-06-09 14:20:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,120.26,0.9718765152739616,183.76,1.485049296912882
giveback_after_1p0r__0p5r,2020-06-12,2020-06-12 11:08:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,153.76,0.6781335450295491,280.76,1.2382464496780452
giveback_after_1p0r__0p5r,2020-06-15,2020-06-15 15:30:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,293.76,1.2202376007310791,414.26,1.7207776023926227
giveback_after_1p0r__0p5r,2020-06-16,2020-06-16 11:02:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,150.76,0.9207279833882984,260.26,1.5894711127397092
giveback_after_1p0r__0p5r,2020-06-22,2020-06-22 14:04:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,110.76,1.1274429967426711,161.76,1.6465798045602607
giveback_after_1p0r__0p5r,2020-06-24,2020-06-24 12:21:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,179.26,0.6572559947202463,316.26,1.1595658869252767
giveback_after_1p0r__0p5r,2020-06-26,2020-06-26 11:01:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,174.76,0.9138255595063793,272.76,1.4262706546747541
giveback_after_1p0r__0p5r,2020-07-01,2020-07-01 15:55:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,149.26,1.031228409561973,222.76,1.5390355119524664
giveback_after_1p0r__0p5r,2020-07-06,2020-07-06 12:06:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,93.26,0.7387515842839038,163.76,1.297211660329531
giveback_after_1p0r__0p5r,2020-07-15,2020-07-15 12:19:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,112.76,0.5376180032421093,221.26,1.0549251454181368
giveback_after_1p0r__0p5r,2020-07-29,2020-07-29 14:55:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,68.26,0.6709258895223119,127.26,1.2508354629447613
giveback_after_1p0r__0p5r,2020-08-10,2020-08-10 11:07:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,162.76,0.9030181979582778,256.76,1.4245450510430535
giveback_after_1p0r__0p5r,2020-08-12,2020-08-12 15:32:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,113.26,0.5062125681594708,231.26,1.0336104406900866
giveback_after_1p0r__0p5r,2020-08-31,2020-08-31 15:19:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,135.26,1.0425466317249883,202.26,1.558964082010174
giveback_after_1p0r__0p5r,2020-09-09,2020-09-09 13:41:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,153.26,0.5508194364577342,309.26,1.1114864864864864
giveback_after_1p0r__0p5r,2020-09-16,2020-09-16 15:35:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,206.26,1.1572037701974864,305.76,1.715439856373429
giveback_after_1p0r__0p5r,2020-09-25,2020-09-25 11:47:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,91.76,0.4628732849071832,207.76,1.0480225988700564
giveback_after_1p0r__0p5r,2020-10-05,2020-10-05 13:32:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,77.76,0.6335343001466516,141.76,1.1549617076747596
giveback_after_1p0r__0p5r,2020-10-09,2020-10-09 13:32:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,66.76,0.5921589497959908,123.26,1.0933120454142276
giveback_after_1p0r__0p5r,2020-10-14,2020-10-14 12:42:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,211.76,1.1160535469589965,313.76,1.653631284916201
giveback_after_1p0r__0p5r,2020-10-16,2020-10-16 10:42:00-04:00,neutral,locked_profit,overlay_peak_giveback_lock,49.76,0.5280135823429541,97.26,1.0320458404074704
