session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day
2019-05-05,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-06,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-07,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-08,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-09,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-10,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-12,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-13,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-14,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-15,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-16,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-17,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-19,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-20,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-21,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-22,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-23,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-24,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-26,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-27,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-28,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-29,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-30,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-05-31,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-02,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-03,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-04,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-05,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-06,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-07,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-09,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-10,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-11,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-12,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-13,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-14,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-16,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-17,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-18,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-19,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-20,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-21,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-23,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-24,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-25,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-26,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-27,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-28,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-06-30,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-01,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-02,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-03,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-04,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-05,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-07,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-08,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-09,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-10,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-11,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-12,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-14,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-15,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
2019-07-16,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False
