symbol,signal_timeframe,fold_id,config_id,family,filter_name,stop_multiplier,target_multiplier,entry_delay_minutes,stop_zone_fraction,train_trades,train_net_pnl,train_profit_factor,train_winrate,train_avg_trade,train_max_drawdown,train_pnl_to_maxdd,train_skip_rate,positive_years_train,years_with_trades_train,max_year_contribution_pct,normalized_net_pnl,normalized_profit_factor,normalized_pnl_to_maxdd,trade_count_score,simplicity_score,temporal_stability,neighborhood_stability,penalties,train_robust_score,selected_in_fold
MES,15min,fold_1,mes_15min_none_sm1p00_tm3p00_d15,delay_stop_target,none,1.0,3.0,15,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p00_tm3p00_d30,delay_stop_target,none,1.0,3.0,30,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm1p50_d0,stop_target_recalibration,none,1.25,1.5,0,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm1p50_d5,delay_stop_target,none,1.25,1.5,5,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm1p50_d15,delay_stop_target,none,1.25,1.5,15,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm1p50_d30,delay_stop_target,none,1.25,1.5,30,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm2p00_d0,stop_target_recalibration,none,1.25,2.0,0,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm2p00_d5,delay_stop_target,none,1.25,2.0,5,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm2p00_d15,delay_stop_target,none,1.25,2.0,15,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm2p00_d30,delay_stop_target,none,1.25,2.0,30,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm2p50_d0,stop_target_recalibration,none,1.25,2.5,0,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm2p50_d5,delay_stop_target,none,1.25,2.5,5,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm2p50_d15,delay_stop_target,none,1.25,2.5,15,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm2p50_d30,delay_stop_target,none,1.25,2.5,30,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm3p00_d0,stop_target_recalibration,none,1.25,3.0,0,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm3p00_d5,delay_stop_target,none,1.25,3.0,5,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm3p00_d15,delay_stop_target,none,1.25,3.0,15,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p25_tm3p00_d30,delay_stop_target,none,1.25,3.0,30,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p50_tm1p50_d0,stop_target_recalibration,none,1.5,1.5,0,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p50_tm1p50_d5,delay_stop_target,none,1.5,1.5,5,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p50_tm1p50_d15,delay_stop_target,none,1.5,1.5,15,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
MES,15min,fold_1,mes_15min_none_sm1p50_tm1p50_d30,delay_stop_target,none,1.5,1.5,30,,0,0.0,inf,0.0,0.0,0.0,,0.0,0,0,1.0,1.0,,,0.0,0.65,0.0,0.0,0.5,-0.25,False
