session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,daily_stop_breached,trading_halted,equity,peak_equity,drawdown_usd,green_day,weekday
2024-01-02,31.449999999997544,38.949999999997544,7.5,3.0,1.0,False,False,50031.45,50031.45,0.0,True,Tuesday
2024-01-03,-19.99583333333362,-17.49583333333362,2.5,1.0,1.0,False,False,50011.45416666666,50031.45,-19.995833333334303,False,Wednesday
2024-01-04,0.0,0.0,0.0,0.0,0.0,False,False,50011.45416666666,50031.45,-19.995833333334303,False,Thursday
2024-01-05,28.746874999999363,31.246874999999363,2.5,1.0,0.0,False,False,50040.20104166666,50040.20104166666,0.0,True,Friday
2024-01-08,45.3218749999985,50.3218749999985,5.0,2.0,0.0,False,False,50085.52291666666,50085.52291666666,0.0,True,Monday
2024-01-09,9.00000000000091,11.50000000000091,2.5,1.0,0.0,False,False,50094.52291666666,50094.52291666666,0.0,True,Tuesday
2024-01-10,-3.1348958333330756,1.8651041666669244,5.0,2.0,1.0,False,False,50091.38802083333,50094.52291666666,-3.1348958333328483,False,Wednesday
2024-01-11,-6.1932291666676065,-1.1932291666676065,5.0,2.0,1.0,False,False,50085.19479166666,50094.52291666666,-9.328125,False,Thursday
2024-01-12,15.554687500000455,18.054687500000455,2.5,1.0,0.0,False,False,50100.74947916666,50100.74947916666,0.0,True,Friday
2024-01-15,-7.259374999998727,-4.759374999998727,2.5,1.0,1.0,False,False,50093.49010416667,50100.74947916666,-7.259374999994179,False,Monday
2024-01-16,-17.499999999998863,-14.999999999998863,2.5,1.0,1.0,False,False,50075.99010416667,50100.74947916666,-24.75937499999418,False,Tuesday
2024-01-17,0.0,0.0,0.0,0.0,0.0,False,False,50075.99010416667,50100.74947916666,-24.75937499999418,False,Wednesday
2024-01-18,5.814062499999864,10.814062499999864,5.0,2.0,1.0,False,False,50081.80416666666,50100.74947916666,-18.9453125,True,Thursday
2024-01-19,2.656250000001137,7.656250000001137,5.0,2.0,1.0,False,False,50084.46041666667,50100.74947916666,-16.289062499992724,True,Friday
2024-01-22,16.12343749999809,18.62343749999809,2.5,1.0,0.0,False,False,50100.58385416667,50100.74947916666,-0.16562499999417923,True,Monday
2024-01-23,0.0,0.0,0.0,0.0,0.0,False,False,50100.58385416667,50100.74947916666,-0.16562499999417923,False,Tuesday
2024-01-24,0.0,0.0,0.0,0.0,0.0,False,False,50100.58385416667,50100.74947916666,-0.16562499999417923,False,Wednesday
2024-01-25,-19.922916666665742,-17.422916666665742,2.5,1.0,1.0,False,False,50080.6609375,50100.74947916666,-20.08854166666424,False,Thursday
2024-01-26,0.0,0.0,0.0,0.0,0.0,False,False,50080.6609375,50100.74947916666,-20.08854166666424,False,Friday
2024-01-29,-14.520833333332348,-12.020833333332348,2.5,1.0,1.0,False,False,50066.14010416667,50100.74947916666,-34.609374999992724,False,Monday
2024-01-30,-17.323958333331575,-14.823958333331575,2.5,1.0,1.0,False,False,50048.816145833334,50100.74947916666,-51.93333333332703,False,Tuesday
2024-01-31,0.0,0.0,0.0,0.0,0.0,False,False,50048.816145833334,50100.74947916666,-51.93333333332703,False,Wednesday
2024-02-01,17.434375000003683,24.934375000003683,7.5,3.0,1.0,False,False,50066.25052083334,50100.74947916666,-34.49895833332266,True,Thursday
2024-02-02,0.0,0.0,0.0,0.0,0.0,False,False,50066.25052083334,50100.74947916666,-34.49895833332266,False,Friday
2024-02-05,0.0,0.0,0.0,0.0,0.0,False,False,50066.25052083334,50100.74947916666,-34.49895833332266,False,Monday
2024-02-06,0.0,0.0,0.0,0.0,0.0,False,False,50066.25052083334,50100.74947916666,-34.49895833332266,False,Tuesday
2024-02-07,0.0,0.0,0.0,0.0,0.0,False,False,50066.25052083334,50100.74947916666,-34.49895833332266,False,Wednesday
2024-02-08,10.407291666668925,15.407291666668925,5.0,2.0,1.0,False,False,50076.65781250001,50100.74947916666,-24.0916666666526,True,Thursday
