variant_name,session_date,signal_time,signal_index,state_pre,state_post,policy_multiplier,allowed_to_trade,blocked_reason,trade_executed,quantity,trade_number_in_day,exit_reason,overlay_exit_reason,net_pnl_usd,net_pnl_r
hard_profit_lock_r_0p75,2019-05-07,2019-05-07 10:01:00-04:00,475,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,95.76,0.7931091601788969
hard_profit_lock_r_0p75,2019-05-09,2019-05-09 10:04:00-04:00,560,neutral,neutral,1.0,True,,True,1,1,stop,,-134.74,-1.0
hard_profit_lock_r_0p75,2019-05-13,2019-05-13 10:01:00-04:00,562,neutral,neutral,1.0,True,,True,1,1,time_exit,,70.26,0.4788060515196947
hard_profit_lock_r_0p75,2019-05-20,2019-05-20 10:25:00-04:00,604,neutral,neutral,1.0,True,,True,1,1,time_exit,,-54.24,-0.46462223745074527
hard_profit_lock_r_0p75,2019-06-03,2019-06-03 10:01:00-04:00,598,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,142.26,0.7763588736083824
hard_profit_lock_r_0p75,2019-06-18,2019-06-18 10:03:00-04:00,436,neutral,neutral,1.0,True,,True,1,1,time_exit,,-88.74,-0.5197376127445238
hard_profit_lock_r_0p75,2019-08-02,2019-08-02 10:04:00-04:00,604,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,87.76,0.8668510470169895
hard_profit_lock_r_0p75,2019-08-06,2019-08-06 10:03:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,stop,,-92.24,-1.0
hard_profit_lock_r_0p75,2019-08-07,2019-08-07 10:10:00-04:00,610,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,122.76,0.7733400529167191
hard_profit_lock_r_0p75,2019-08-13,2019-08-13 10:26:00-04:00,624,neutral,neutral,1.0,True,,True,1,1,time_exit,,-72.24,-0.16279803488529318
hard_profit_lock_r_0p75,2019-08-14,2019-08-14 10:12:00-04:00,612,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,86.26,0.8315018315018315
hard_profit_lock_r_0p75,2019-08-23,2019-08-23 10:05:00-04:00,604,neutral,neutral,1.0,True,,True,1,1,stop,,-123.74,-1.0
hard_profit_lock_r_0p75,2019-09-03,2019-09-03 10:04:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,time_exit,,-1.24,-0.009412479125550325
hard_profit_lock_r_0p75,2019-10-03,2019-10-03 10:00:00-04:00,599,neutral,neutral,1.0,True,,True,1,1,stop,,-152.24,-1.0
hard_profit_lock_r_0p75,2019-10-04,2019-10-04 10:00:00-04:00,599,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,65.76,0.7760207694123201
hard_profit_lock_r_0p75,2019-12-12,2019-12-12 10:00:00-05:00,599,neutral,neutral,1.0,True,,True,1,1,time_exit,,-27.24,-0.1454817346720786
hard_profit_lock_r_0p75,2019-12-13,2019-12-13 10:01:00-05:00,574,neutral,neutral,1.0,True,,True,1,1,time_exit,,-6.24,-0.05712193335774442
hard_profit_lock_r_0p75,2020-01-31,2020-01-31 10:08:00-05:00,608,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,149.76,0.8619776677794404
hard_profit_lock_r_0p75,2020-02-05,2020-02-05 10:14:00-05:00,614,neutral,neutral,1.0,True,,True,1,1,time_exit,,-22.24,-0.12512658940024754
hard_profit_lock_r_0p75,2020-02-21,2020-02-21 10:40:00-05:00,640,neutral,neutral,1.0,True,,True,1,1,time_exit,,37.76,0.14793919448362325
hard_profit_lock_r_0p75,2020-02-25,2020-02-25 10:20:00-05:00,620,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,174.26,0.8469913483036842
hard_profit_lock_r_0p75,2020-02-26,2020-02-26 10:35:00-05:00,635,neutral,neutral,1.0,True,,True,1,1,stop,,-275.74,-1.0
hard_profit_lock_r_0p75,2020-02-27,2020-02-27 10:23:00-05:00,623,neutral,neutral,1.0,True,,True,1,1,stop,,-246.74,-1.0
hard_profit_lock_r_0p75,2020-03-04,2020-03-04 10:22:00-05:00,622,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,186.26,0.781816655473472
hard_profit_lock_r_0p75,2020-03-05,2020-03-05 10:18:00-05:00,618,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,134.26,0.8027983735948336
hard_profit_lock_r_0p75,2020-03-06,2020-03-06 10:25:00-05:00,625,neutral,neutral,1.0,True,,True,1,1,stop,,-233.24,-1.0
hard_profit_lock_r_0p75,2020-03-10,2020-03-10 10:20:00-04:00,620,neutral,neutral,1.0,True,,True,1,1,stop,,-229.24,-1.0
hard_profit_lock_r_0p75,2020-03-11,2020-03-11 10:30:00-04:00,630,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,161.76,0.8180438960250833
hard_profit_lock_r_0p75,2020-03-24,2020-03-24 10:25:00-04:00,605,neutral,neutral,1.0,True,,True,1,1,stop,,-232.24,-1.0
hard_profit_lock_r_0p75,2020-03-27,2020-03-27 13:39:00-04:00,819,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,190.76,0.751793174115236
hard_profit_lock_r_0p75,2020-03-30,2020-03-30 10:03:00-04:00,603,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,153.76,0.8626570915619388
hard_profit_lock_r_0p75,2020-03-31,2020-03-31 10:06:00-04:00,606,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,136.76,0.8455545937925064
hard_profit_lock_r_0p75,2020-04-01,2020-04-01 10:32:00-04:00,632,neutral,neutral,1.0,True,,True,1,1,stop,,-152.24,-1.0
hard_profit_lock_r_0p75,2020-04-02,2020-04-02 10:12:00-04:00,612,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,178.76,0.7730496453900708
hard_profit_lock_r_0p75,2020-04-03,2020-04-03 10:22:00-04:00,622,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,158.76,0.8049077266274588
hard_profit_lock_r_0p75,2020-04-06,2020-04-06 10:02:00-04:00,602,neutral,locked_profit,1.0,True,,True,1,1,overlay_hard_profit_lock,overlay_hard_profit_lock,169.26,0.7633264183277712
