session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,daily_stop_breached,trading_halted,equity,peak_equity,drawdown_usd,green_day,weekday
2019-05-06,82.5,120.0,37.5,15,12,False,False,25082.5,25082.5,0.0,True,Monday
2019-05-07,95.5,110.5,15.0,6,3,False,False,25178.0,25178.0,0.0,True,Tuesday
2019-05-08,-301.0,-253.5,47.5,19,17,False,False,24877.0,25178.0,-301.0,False,Wednesday
2019-05-09,78.5,116.0,37.5,15,12,False,False,24955.5,25178.0,-222.5,True,Thursday
2019-05-10,267.0,284.5,17.5,7,4,False,False,25222.5,25222.5,0.0,True,Friday
2019-05-13,-49.0,-9.0,40.0,16,13,False,False,25173.5,25222.5,-49.0,False,Monday
2019-05-14,2.0,19.5,17.5,7,5,False,False,25175.5,25222.5,-47.0,True,Tuesday
2019-05-15,190.0,200.0,10.0,4,3,False,False,25365.5,25365.5,0.0,True,Wednesday
2019-05-16,-109.0,-66.5,42.5,17,16,False,False,25256.5,25365.5,-109.0,False,Thursday
2019-05-17,-453.0,-345.5,107.5,43,40,False,False,24803.5,25365.5,-562.0,False,Friday
2019-05-20,-254.5,-184.5,70.0,28,24,False,False,24549.0,25365.5,-816.5,False,Monday
2019-05-21,-182.5,-140.0,42.5,17,15,False,False,24366.5,25365.5,-999.0,False,Tuesday
2019-05-22,-289.0,-194.0,95.0,38,35,False,False,24077.5,25365.5,-1288.0,False,Wednesday
2019-05-23,-191.5,-136.5,55.0,22,18,False,False,23886.0,25365.5,-1479.5,False,Thursday
2019-05-24,24.0,49.0,25.0,10,8,False,False,23910.0,25365.5,-1455.5,True,Friday
2019-05-27,-181.5,-84.0,97.5,39,38,False,False,23728.5,25365.5,-1637.0,False,Monday
2019-05-28,-69.5,0.5,70.0,28,25,False,False,23659.0,25365.5,-1706.5,False,Tuesday
2019-05-29,-361.0,-278.5,82.5,33,32,False,False,23298.0,25365.5,-2067.5,False,Wednesday
2019-05-30,-102.0,-54.5,47.5,19,15,False,False,23196.0,25365.5,-2169.5,False,Thursday
2019-05-31,-79.5,-44.5,35.0,14,11,False,False,23116.5,25365.5,-2249.0,False,Friday
2019-06-03,67.5,112.5,45.0,18,16,False,False,23184.0,25365.5,-2181.5,True,Monday
2019-06-04,107.0,134.5,27.5,11,10,False,False,23291.0,25365.5,-2074.5,True,Tuesday
2019-06-05,-37.0,0.5,37.5,15,12,False,False,23254.0,25365.5,-2111.5,False,Wednesday
2019-06-06,-39.5,0.5,40.0,16,15,False,False,23214.5,25365.5,-2151.0,False,Thursday
2019-06-07,159.5,172.0,12.5,5,4,False,False,23374.0,25365.5,-1991.5,True,Friday
2019-06-10,21.5,66.5,45.0,18,15,False,False,23395.5,25365.5,-1970.0,True,Monday
2019-06-11,69.0,89.0,20.0,8,6,False,False,23464.5,25365.5,-1901.0,True,Tuesday
2019-06-12,-130.0,-82.5,47.5,19,16,False,False,23334.5,25365.5,-2031.0,False,Wednesday
2019-06-13,-318.0,-213.0,105.0,42,41,False,False,23016.5,25365.5,-2349.0,False,Thursday
2019-06-14,-96.5,-51.5,45.0,18,16,False,False,22920.0,25365.5,-2445.5,False,Friday
2019-06-17,-104.5,-49.5,55.0,22,20,False,False,22815.5,25365.5,-2550.0,False,Monday
2019-06-18,-122.0,-64.5,57.5,23,20,False,False,22693.5,25365.5,-2672.0,False,Tuesday
2019-06-19,-128.5,-31.0,97.5,39,33,False,False,22565.0,25365.5,-2800.5,False,Wednesday
2019-06-20,-26.0,4.0,30.0,12,9,False,False,22539.0,25365.5,-2826.5,False,Thursday
2019-06-24,-114.5,-59.5,55.0,22,20,False,False,22424.5,25365.5,-2941.0,False,Monday
2019-06-25,181.0,193.5,12.5,5,3,False,False,22605.5,25365.5,-2760.0,True,Tuesday
2019-06-26,-27.5,5.0,32.5,13,10,False,False,22578.0,25365.5,-2787.5,False,Wednesday
2019-06-27,-217.0,-139.5,77.5,31,30,False,False,22361.0,25365.5,-3004.5,False,Thursday
2019-06-28,-9.0,18.5,27.5,11,8,False,False,22352.0,25365.5,-3013.5,False,Friday
2019-07-01,-1.0,14.0,15.0,6,5,False,False,22351.0,25365.5,-3014.5,False,Monday
2019-07-02,-127.5,-70.0,57.5,23,20,False,False,22223.5,25365.5,-3142.0,False,Tuesday
2019-07-03,8.0,28.0,20.0,8,7,False,False,22231.5,25365.5,-3134.0,True,Wednesday
2019-07-04,-33.0,-10.5,22.5,9,8,False,False,22198.5,25365.5,-3167.0,False,Thursday
2019-07-05,27.5,60.0,32.5,13,11,False,False,22226.0,25365.5,-3139.5,True,Friday
2019-07-08,-106.5,-46.5,60.0,24,22,False,False,22119.5,25365.5,-3246.0,False,Monday
2019-07-09,154.5,157.0,2.5,1,0,False,False,22274.0,25365.5,-3091.5,True,Tuesday
2019-07-10,-65.0,-7.5,57.5,23,20,False,False,22209.0,25365.5,-3156.5,False,Wednesday
2019-07-11,-80.0,-47.5,32.5,13,11,False,False,22129.0,25365.5,-3236.5,False,Thursday
2019-07-12,24.0,39.0,15.0,6,4,False,False,22153.0,25365.5,-3212.5,True,Friday
2019-07-15,-153.5,-98.5,55.0,22,20,False,False,21999.5,25365.5,-3366.0,False,Monday
2019-07-16,-60.5,-3.0,57.5,23,21,False,False,21939.0,25365.5,-3426.5,False,Tuesday
2019-07-17,-120.0,-37.5,82.5,33,31,False,False,21819.0,25365.5,-3546.5,False,Wednesday
2019-07-18,-12.0,35.5,47.5,19,16,False,False,21807.0,25365.5,-3558.5,False,Thursday
2019-07-19,192.5,205.0,12.5,5,2,False,False,21999.5,25365.5,-3366.0,True,Friday
2019-07-22,-153.0,-98.0,55.0,22,20,False,False,21846.5,25365.5,-3519.0,False,Monday
2019-07-23,-47.0,13.0,60.0,24,21,False,False,21799.5,25365.5,-3566.0,False,Tuesday
2019-07-24,141.0,146.0,5.0,2,1,False,False,21940.5,25365.5,-3425.0,True,Wednesday
2019-07-25,8.5,31.0,22.5,9,6,False,False,21949.0,25365.5,-3416.5,True,Thursday
2019-07-26,-64.5,-32.0,32.5,13,11,False,False,21884.5,25365.5,-3481.0,False,Friday
2019-07-29,35.5,63.0,27.5,11,9,False,False,21920.0,25365.5,-3445.5,True,Monday
2019-07-30,-261.0,-176.0,85.0,34,32,False,False,21659.0,25365.5,-3706.5,False,Tuesday
2019-07-31,111.0,168.5,57.5,23,19,False,False,21770.0,25365.5,-3595.5,True,Wednesday
2019-08-01,367.0,372.0,5.0,2,0,False,False,22137.0,25365.5,-3228.5,True,Thursday
2019-08-02,-228.0,-173.0,55.0,22,19,False,False,21909.0,25365.5,-3456.5,False,Friday
2019-08-05,47.5,85.0,37.5,15,11,False,False,21956.5,25365.5,-3409.0,True,Monday
2019-08-06,-47.5,0.0,47.5,19,15,False,False,21909.0,25365.5,-3456.5,False,Tuesday
2019-08-07,70.0,100.0,30.0,12,8,False,False,21979.0,25365.5,-3386.5,True,Wednesday
2019-08-08,150.5,168.0,17.5,7,6,False,False,22129.5,25365.5,-3236.0,True,Thursday
2019-08-09,-60.5,-20.5,40.0,16,14,False,False,22069.0,25365.5,-3296.5,False,Friday
2019-08-12,-238.5,-168.5,70.0,28,26,False,False,21830.5,25365.5,-3535.0,False,Monday
2019-08-13,228.0,245.5,17.5,7,5,False,False,22058.5,25365.5,-3307.0,True,Tuesday
2019-08-14,125.0,145.0,20.0,8,7,False,False,22183.5,25365.5,-3182.0,True,Wednesday
2019-08-15,-464.5,-377.0,87.5,35,34,False,False,21719.0,25365.5,-3646.5,False,Thursday
2019-08-16,-117.0,-84.5,32.5,13,11,False,False,21602.0,25365.5,-3763.5,False,Friday
2019-08-19,-49.5,-17.0,32.5,13,10,False,False,21552.5,25365.5,-3813.0,False,Monday
2019-08-20,-13.0,24.5,37.5,15,12,False,False,21539.5,25365.5,-3826.0,False,Tuesday
2019-08-21,-92.0,-52.0,40.0,16,14,False,False,21447.5,25365.5,-3918.0,False,Wednesday
2019-08-22,-31.0,11.5,42.5,17,15,False,False,21416.5,25365.5,-3949.0,False,Thursday
2019-08-23,201.0,226.0,25.0,10,9,False,False,21617.5,25365.5,-3748.0,True,Friday
