session_date,policy_name,strategy_tag,first_breakout_side,first_upside_touch_ts,first_downside_break_ts,invalidated_for_day,invalidated_at,reclaim_or_low_ts,reclaim_vwap_ts,selected_signal_ts,selected_signal_type,trade_taken,is_reclaim_trade,symbol,config_name
2026-02-16,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,2026-02-16 09:56:00-05:00,2026-02-16 09:45:00-05:00,True,2026-02-16 09:45:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-02-17,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,2026-02-17 13:39:00-05:00,2026-02-17 09:50:00-05:00,True,2026-02-17 09:50:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-02-19,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_upside,2026-02-19 09:53:00-05:00,2026-02-19 13:21:00-05:00,True,2026-02-19 13:21:00-05:00,,,2026-02-19 09:55:00-05:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-02-23,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,,2026-02-23 09:45:00-05:00,True,2026-02-23 09:45:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-02-26,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,,2026-02-26 09:48:00-05:00,True,2026-02-26 09:48:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-03,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,2026-03-03 11:45:00-05:00,2026-03-03 09:49:00-05:00,True,2026-03-03 09:49:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-05,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_upside,2026-03-05 09:49:00-05:00,2026-03-05 10:30:00-05:00,True,2026-03-05 10:30:00-05:00,,,2026-03-05 09:51:00-05:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-09,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,2026-03-09 10:44:00-04:00,2026-03-09 09:45:00-04:00,True,2026-03-09 09:45:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-10,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,2026-03-10 10:39:00-04:00,2026-03-10 09:58:00-04:00,True,2026-03-10 09:58:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-11,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,2026-03-11 10:00:00-04:00,2026-03-11 09:50:00-04:00,True,2026-03-11 09:50:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-12,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_downside,,2026-03-12 09:45:00-04:00,True,2026-03-12 09:45:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-13,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_upside,2026-03-13 09:45:00-04:00,2026-03-13 10:43:00-04:00,True,2026-03-13 10:43:00-04:00,,,2026-03-13 09:45:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-16,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_upside,2026-03-16 09:45:00-04:00,2026-03-16 18:52:00-04:00,True,2026-03-16 18:52:00-04:00,,,2026-03-16 09:45:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-17,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_upside,2026-03-17 09:45:00-04:00,2026-03-17 11:36:00-04:00,True,2026-03-17 11:36:00-04:00,,,2026-03-17 09:45:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-03-18,invalidate_on_opposite_close_1m__buffer_0,orb_long_only,first_breakout_upside,2026-03-18 09:46:00-04:00,2026-03-18 10:13:00-04:00,True,2026-03-18 10:13:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_1m__buffer_0
2026-02-03,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,,2026-02-03 09:55:00-05:00,True,2026-02-03 09:55:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-04,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,,2026-02-04 09:59:00-05:00,True,2026-02-04 09:59:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-05,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_upside,2026-02-05 09:47:00-05:00,2026-02-05 10:11:00-05:00,True,2026-02-05 10:11:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-10,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_upside,2026-02-10 10:06:00-05:00,2026-02-10 15:12:00-05:00,True,2026-02-10 15:12:00-05:00,,,2026-02-10 10:06:00-05:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-11,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,,2026-02-11 09:58:00-05:00,True,2026-02-11 09:58:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-12,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,,2026-02-12 09:46:00-05:00,True,2026-02-12 09:46:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-16,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,2026-02-16 09:56:00-05:00,2026-02-16 09:46:00-05:00,True,2026-02-16 09:46:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-17,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,2026-02-17 13:39:00-05:00,2026-02-17 09:51:00-05:00,True,2026-02-17 09:51:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-23,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,,2026-02-23 10:05:00-05:00,True,2026-02-23 10:05:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-26,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,,2026-02-26 09:52:00-05:00,True,2026-02-26 09:52:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-03,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,2026-03-03 11:45:00-05:00,2026-03-03 09:59:00-05:00,True,2026-03-03 09:59:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-05,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_upside,2026-03-05 09:49:00-05:00,2026-03-05 10:31:00-05:00,True,2026-03-05 10:31:00-05:00,,,2026-03-05 09:51:00-05:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-09,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,2026-03-09 10:44:00-04:00,2026-03-09 09:51:00-04:00,True,2026-03-09 09:51:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-10,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,2026-03-10 10:39:00-04:00,2026-03-10 10:01:00-04:00,True,2026-03-10 10:01:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-11,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,2026-03-11 10:00:00-04:00,2026-03-11 09:51:00-04:00,True,2026-03-11 09:51:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-12,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_downside,,2026-03-12 09:46:00-04:00,True,2026-03-12 09:46:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-13,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_upside,2026-03-13 09:45:00-04:00,2026-03-13 10:44:00-04:00,True,2026-03-13 10:44:00-04:00,,,2026-03-13 09:45:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-16,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_upside,2026-03-16 09:45:00-04:00,2026-03-16 18:53:00-04:00,True,2026-03-16 18:53:00-04:00,,,2026-03-16 09:45:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-17,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_upside,2026-03-17 09:45:00-04:00,2026-03-17 11:37:00-04:00,True,2026-03-17 11:37:00-04:00,,,2026-03-17 09:45:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-03-18,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,orb_long_only,first_breakout_upside,2026-03-18 09:46:00-04:00,2026-03-18 10:14:00-04:00,True,2026-03-18 10:14:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2
2026-02-03,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,,2026-02-03 09:54:00-05:00,True,2026-02-03 09:54:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-04,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,,2026-02-04 09:59:00-05:00,True,2026-02-04 09:59:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-05,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-02-05 09:47:00-05:00,2026-02-05 10:14:00-05:00,True,2026-02-05 10:14:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-10,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-02-10 10:06:00-05:00,2026-02-10 15:14:00-05:00,True,2026-02-10 15:14:00-05:00,,,2026-02-10 10:06:00-05:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-11,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,,2026-02-11 09:59:00-05:00,True,2026-02-11 09:59:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-12,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,,2026-02-12 09:49:00-05:00,True,2026-02-12 09:49:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-16,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-02-16 09:56:00-05:00,2026-02-16 10:29:00-05:00,True,2026-02-16 10:29:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-17,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,2026-02-17 13:39:00-05:00,2026-02-17 09:54:00-05:00,True,2026-02-17 09:54:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-19,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-02-19 09:53:00-05:00,2026-02-19 14:39:00-05:00,True,2026-02-19 14:39:00-05:00,,,2026-02-19 09:55:00-05:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-23,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,,2026-02-23 10:04:00-05:00,True,2026-02-23 10:04:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-02-26,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,,2026-02-26 09:54:00-05:00,True,2026-02-26 09:54:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-03,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,2026-03-03 11:45:00-05:00,2026-03-03 09:49:00-05:00,True,2026-03-03 09:49:00-05:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-05,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-03-05 09:49:00-05:00,2026-03-05 10:34:00-05:00,True,2026-03-05 10:34:00-05:00,,,2026-03-05 09:51:00-05:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-09,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,2026-03-09 10:44:00-04:00,2026-03-09 09:54:00-04:00,True,2026-03-09 09:54:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-10,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,2026-03-10 10:39:00-04:00,2026-03-10 10:09:00-04:00,True,2026-03-10 10:09:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-11,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-03-11 10:00:00-04:00,2026-03-11 10:24:00-04:00,True,2026-03-11 10:24:00-04:00,,,2026-03-11 10:00:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-12,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_downside,,2026-03-12 09:49:00-04:00,True,2026-03-12 09:49:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-13,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-03-13 09:45:00-04:00,2026-03-13 10:44:00-04:00,True,2026-03-13 10:44:00-04:00,,,2026-03-13 09:45:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-16,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-03-16 09:45:00-04:00,2026-03-16 18:54:00-04:00,True,2026-03-16 18:54:00-04:00,,,2026-03-16 09:45:00-04:00,pre_invalidation_long,True,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
2026-03-18,invalidate_on_opposite_close_5m__buffer_0,orb_long_only,first_breakout_upside,2026-03-18 09:46:00-04:00,2026-03-18 10:14:00-04:00,True,2026-03-18 10:14:00-04:00,,,,none,False,False,MNQ,invalidate_on_opposite_close_5m__buffer_0
